tanggal,bulan,chatbot_name,channel_name,text
2020-10-02,"Oct 20",Posindo,Line,"Cek resi: 17968238418"
2020-10-02,"Oct 20",Posindo,Line,"Mohon ditindaklanjuti"
2020-10-02,"Oct 20",Posindo,Line,"Terima kasih"
2020-10-04,"Oct 20",Posindo,Line,"Nomor telpon custimer servicenya"
2020-10-05,"Oct 20",Posindo,Line,"Berapa lama nyampenya"
2020-10-05,"Oct 20",Posindo,Line,"Bisa kirimin nomor call centernya"
2020-10-05,"Oct 20",Posindo,Line,Cek
2020-10-05,"Oct 20",Posindo,Line,"Dokumen saya kok sampai saat ini belum datang ya, mohon penjelasannya"
2020-10-05,"Oct 20",Posindo,Line,"Gimana ini cara pelayannya"
2020-10-05,"Oct 20",Posindo,Line,"Itu sudah saya kirim"
2020-10-05,"Oct 20",Posindo,Line,"Kok 6bln"
2020-10-05,"Oct 20",Posindo,Line,"Kok belum sampai juga ya sampai saat ini"
2020-10-05,"Oct 20",Posindo,Line,"Saya baru banget bayar kemarin"
2020-10-05,"Oct 20",Posindo,Line,"Saya butuh kepastiannya"
2020-10-05,"Oct 20",Posindo,Line,"Sudah lebih dari tgl pengiriman tapi kok belum sampai"
2020-10-05,"Oct 20",Posindo,Line,"Tolong di cek surat penting STR sy sudah dari bulan 8 belun ada kabar"
2020-10-06,"Oct 20",Posindo,Line,"karena berisi dokumen penting"
2020-10-06,"Oct 20",Posindo,Line,"saya ingin bertanya ttg paket saya"
2020-10-06,"Oct 20",Posindo,Line,"saya mau minta tolong untuk paket saya bisa diantar hari ini ke kedutaan besar korea"
2020-10-07,"Oct 20",Posindo,Line,"Okeyy terimakasih"
2020-10-07,"Oct 20",Posindo,Line,"Saya tunggu kabarnya"
2020-10-07,"Oct 20",Posindo,Line,SS101469603
2020-10-07,"Oct 20",Posindo,Line,Tes
2020-10-08,"Oct 20",Posindo,Line,"Bisa bantu utk tracking post?"
2020-10-08,"Oct 20",Posindo,Line,"Ini saya dari sentani ga ada yah berkas sy katanya ada d jayapura bagaimana ini ga becus smua?"
2020-10-08,"Oct 20",Posindo,Line,"Nomor barcode kiriman : 18121219261
Isi dan berat kiriman : laptop, 7kg
Nama penerima : Kurniawan
Alamat lengkap penerima : jl. Thamrin no 101 sail pekanbaru
No. telp penerima : 0811769838"
2020-10-08,"Oct 20",Posindo,Line,"Post ini belum diterima lebih dari 40 hari. Bisa bantu untuk tracking?"
2020-10-08,"Oct 20",Posindo,Line,"Tolong infonya utk no resi 17574226331
Smpai saat ini paket blm sampai"
2020-10-09,"Oct 20",Posindo,Line,"Sudah 2 hari kerjaa"
2020-10-09,"Oct 20",Posindo,Line,"WTB exo official ls ver 1 dan semua album exo cover chanyeol (line)nailahfaradiska"
2020-10-09,"Oct 20",Posindo,Line,"WTB exo official ls ver 1, semua album exo cover chanyeol (line)nailahfaradiska"
2020-10-09,"Oct 20",Posindo,Line,"WTB exo official ls ver 1, semua album exo cover chanyeol. (line)nailahfaradiska"
